"function_name","return_type","arguments","schema"
"gin_extract_value_trgm","internal","text, internal","public"
"gin_trgm_consistent","boolean","internal, smallint, text, integer, internal, internal, internal, internal","public"
"gin_trgm_triconsistent","""char""","internal, smallint, text, integer, internal, internal, internal","public"
"gserialized_gist_joinsel_2d","double precision","internal, oid, internal, smallint","public"
"gserialized_gist_joinsel_nd","double precision","internal, oid, internal, smallint","public"
"gserialized_gist_sel_2d","double precision","internal, oid, internal, integer","public"
"gserialized_gist_sel_nd","double precision","internal, oid, internal, integer","public"
"gtrgm_compress","internal","internal","public"
"gtrgm_consistent","boolean","internal, text, smallint, oid, internal","public"
"gtrgm_decompress","internal","internal","public"
"gtrgm_distance","double precision","internal, text, smallint, oid, internal","public"
"gtrgm_in","gtrgm","cstring","public"
"gtrgm_options","void","internal","public"
"gtrgm_out","cstring","gtrgm","public"
"gtrgm_penalty","internal","internal, internal, internal","public"
"gtrgm_picksplit","internal","internal, internal","public"
"gtrgm_same","internal","gtrgm, gtrgm, internal","public"
"gtrgm_union","gtrgm","internal, internal","public"
"hmac","bytea","text, text, text","public"
"hmac","bytea","bytea, bytea, text","public"
"is_contained_2d","boolean","geometry, box2df","public"
"is_contained_2d","boolean","box2df, box2df","public"
"is_contained_2d","boolean","box2df, geometry","public"
"jobs_search_update","trigger","","public"
"json","json","geometry","public"
"jsonb","jsonb","geometry","public"
"login_user","TABLE(user_id uuid, role text, full_name text)","p_email text, p_password text","public"
"nearby_jobs","SETOF jobs","lat double precision, lng double precision, radius_km double precision DEFAULT 50","public"
"overlaps_2d","boolean","box2df, box2df","public"
"overlaps_2d","boolean","box2df, geometry","public"
"overlaps_2d","boolean","geometry, box2df","public"
"overlaps_geog","boolean","geography, gidx","public"
"overlaps_geog","boolean","gidx, gidx","public"
"overlaps_geog","boolean","gidx, geography","public"
"overlaps_nd","boolean","gidx, gidx","public"
"overlaps_nd","boolean","gidx, geometry","public"
"overlaps_nd","boolean","geometry, gidx","public"
"path","path","geometry","public"
"pgis_asflatgeobuf_finalfn","bytea","internal","public"
"pgis_asflatgeobuf_transfn","internal","internal, anyelement, boolean","public"
"pgis_asflatgeobuf_transfn","internal","internal, anyelement","public"
"pgis_asflatgeobuf_transfn","internal","internal, anyelement, boolean, text","public"
"pgis_asgeobuf_finalfn","bytea","internal","public"
"pgis_asgeobuf_transfn","internal","internal, anyelement","public"
"pgis_asgeobuf_transfn","internal","internal, anyelement, text","public"
"pgis_asmvt_combinefn","internal","internal, internal","public"
"pgis_asmvt_deserialfn","internal","bytea, internal","public"
"pgis_asmvt_finalfn","bytea","internal","public"
"pgis_asmvt_serialfn","bytea","internal","public"
"pgis_asmvt_transfn","internal","internal, anyelement, text","public"
"pgis_asmvt_transfn","internal","internal, anyelement","public"
"pgis_asmvt_transfn","internal","internal, anyelement, text, integer, text","public"
"pgis_asmvt_transfn","internal","internal, anyelement, text, integer, text, text","public"
"pgis_asmvt_transfn","internal","internal, anyelement, text, integer","public"
"pgis_geometry_accum_transfn","internal","internal, geometry","public"
"pgis_geometry_accum_transfn","internal","internal, geometry, double precision","public"
"pgis_geometry_accum_transfn","internal","internal, geometry, double precision, integer","public"
"pgis_geometry_clusterintersecting_finalfn","geometry[]","internal","public"
"pgis_geometry_clusterwithin_finalfn","geometry[]","internal","public"
"pgis_geometry_collect_finalfn","geometry","internal","public"
