"proname","args","language"
"pgp_sym_decrypt_bytea","bytea, text, text","c"
"pgp_sym_encrypt","text, text","c"
"pgp_sym_encrypt","text, text, text","c"
"pgp_sym_encrypt_bytea","bytea, text, text","c"
"pgp_sym_encrypt_bytea","bytea, text","c"
"point","geometry","c"
"polygon","geometry","c"
"populate_geometry_columns","use_typmod boolean DEFAULT true","plpgsql"
"populate_geometry_columns","tbl_oid oid, use_typmod boolean DEFAULT true","plpgsql"
"postgis_addbbox","geometry","c"
"postgis_cache_bbox","","c"
"postgis_constraint_dims","geomschema text, geomtable text, geomcolumn text","sql"
"postgis_constraint_srid","geomschema text, geomtable text, geomcolumn text","sql"
"postgis_constraint_type","geomschema text, geomtable text, geomcolumn text","sql"
"postgis_dropbbox","geometry","c"
"postgis_extensions_upgrade","target_version text DEFAULT NULL::text","plpgsql"
"postgis_full_version","","plpgsql"
"postgis_geos_compiled_version","","c"
"postgis_geos_noop","geometry","c"
"postgis_geos_version","","c"
"postgis_getbbox","geometry","c"
"postgis_hasbbox","geometry","c"
"postgis_index_supportfn","internal","c"
"postgis_lib_build_date","","c"
"postgis_lib_revision","","c"
"postgis_lib_version","","c"
"postgis_libjson_version","","c"
"postgis_liblwgeom_version","","c"
"postgis_libprotobuf_version","","c"
"postgis_libxml_version","","c"
"postgis_noop","geometry","c"
"postgis_proj_compiled_version","","c"
"postgis_proj_version","","c"
"postgis_scripts_build_date","","sql"
"postgis_scripts_installed","","sql"
"postgis_scripts_released","","c"
"postgis_srs","auth_name text, auth_srid text","c"
"postgis_srs_all","","c"
"postgis_srs_codes","auth_name text","c"
"postgis_srs_search","bounds geometry, authname text DEFAULT 'EPSG'::text","c"
"postgis_svn_version","","sql"
"postgis_transform_geometry","geom geometry, text, text, integer","c"
"postgis_transform_pipeline_geometry","geom geometry, pipeline text, forward boolean, to_srid integer","c"
"postgis_type_name","geomname character varying, coord_dimension integer, use_new_name boolean DEFAULT true","sql"
"postgis_typmod_dims","integer","c"
"postgis_typmod_srid","integer","c"
"postgis_typmod_type","integer","c"
"postgis_version","","c"
"postgis_wagyu_version","","c"
"profiles_search_update","","plpgsql"
"rate_user_atomic","p_job_id uuid, p_rater_user_id uuid, p_rated_user_id uuid, p_rating integer, p_comment text DEFAULT ''::text, p_rating_type text DEFAULT 'worker'::text, p_target_type text DEFAULT 'worker'::text","plpgsql"
"register_user","p_email text, p_password text, p_full_name text, p_role text DEFAULT 'worker'::text","plpgsql"
"reject_application","p_job_id uuid, p_app_id uuid","plpgsql"
"resolve_user_atomic","p_user_id uuid","plpgsql"
"set_limit","real","c"
"show_limit","","c"
"show_trgm","text","c"
"similarity","text, text","c"
"similarity_dist","text, text","c"
